City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,Port Hardy,50.6996,-127.4199,48.38,100,100,0.0,CA,2022-10-15 15:57:55
229,Bandarbeyla,9.4942,50.8122,77.86,86,0,10.16,SO,2022-10-15 15:57:56
230,Adrar,20.5022,-10.0711,96.24,15,94,10.67,MR,2022-10-15 15:57:56
231,Georgetown,5.4112,100.3354,77.23,96,40,3.44,MY,2022-10-15 15:57:56
232,Bathsheba,13.2167,-59.5167,88.41,70,20,12.66,BB,2022-10-15 15:57:57
233,Coihaique,-45.5752,-72.0662,55.35,54,100,4.61,CL,2022-10-15 15:57:57
234,Komsomolskiy,40.4272,71.7189,61.52,33,10,4.61,UZ,2022-10-15 15:57:58
235,Nikolskoye,59.7035,30.7861,53.49,80,100,8.19,RU,2022-10-15 15:57:58
236,Pacifica,37.6138,-122.4869,59.61,89,100,5.75,US,2022-10-15 15:56:56
237,Lagoa,39.05,-27.9833,67.1,62,100,20.96,PT,2022-10-15 15:57:59
238,Trincomalee,8.5711,81.2335,81.5,76,100,5.03,LK,2022-10-15 15:58:00
239,Fairview,40.8126,-73.999,69.24,52,20,1.99,US,2022-10-15 15:58:00
240,Palmer,42.1584,-72.3287,67.26,98,1,5.37,US,2022-10-15 15:54:08
241,Palimbang,6.2106,124.1894,79.59,81,95,3.38,PH,2022-10-15 15:58:01
242,Fukue,32.6881,128.8419,71.35,80,0,12.08,JP,2022-10-15 15:58:01
243,Vila,42.0304,-8.1588,58.08,85,95,9.98,PT,2022-10-15 15:58:01
244,Itaguai,-22.8522,-43.7753,87.42,74,20,17.27,BR,2022-10-15 15:58:02
245,Serenje,-13.2325,30.2352,76.35,20,5,10.45,ZM,2022-10-15 15:58:03
246,Vao,-22.6667,167.4833,67.87,63,3,9.28,NC,2022-10-15 15:58:03
247,Gimli,50.6336,-96.9907,41.02,93,100,13.8,CA,2022-10-15 15:58:04
248,Plouzane,48.3833,-4.6167,60.85,82,100,14.97,FR,2022-10-15 15:58:05
249,Sibolga,1.7427,98.7792,74.12,97,100,4.25,ID,2022-10-15 15:58:06
250,Sao Jose Do Belmonte,-7.8614,-38.7597,93.51,18,2,10.65,BR,2022-10-15 15:58:06
251,Bend,44.0582,-121.3153,54.72,56,0,1.01,US,2022-10-15 15:58:07
252,Ovalle,-30.5983,-71.2003,72.63,43,0,6.69,CL,2022-10-15 15:58:07
253,Charlestown,-32.95,151.6667,59.74,90,1,2.48,AU,2022-10-15 15:55:44
254,Cherskiy,68.75,161.3,9.34,96,99,7.58,RU,2022-10-15 15:56:41
255,Batagay-Alyta,67.8006,130.4114,11.14,86,100,5.1,RU,2022-10-15 15:58:09
256,Chapais,49.7834,-74.8492,47.98,51,18,6.53,CA,2022-10-15 15:58:09
257,Aguilas,37.4063,-1.5829,77.4,46,56,5.7,ES,2022-10-15 15:58:10
258,Pantai Remis,4.4557,100.6288,78.82,85,54,7.02,MY,2022-10-15 15:58:10
259,Berlevag,70.8578,29.0864,37.4,86,40,5.75,NO,2022-10-15 15:58:10
260,Ulladulla,-35.35,150.4667,50.92,82,94,5.01,AU,2022-10-15 15:58:11
261,Innisfail,-17.5333,146.0333,73.36,80,36,2.93,AU,2022-10-15 15:58:11
262,Igarapava,-20.0383,-47.7469,90.52,21,12,7.4,BR,2022-10-15 15:58:11
263,Kachiry,53.0675,76.1036,51.51,42,100,5.01,KZ,2022-10-15 15:58:12
264,Prado,-17.3411,-39.2208,81.43,58,59,10.76,BR,2022-10-15 15:58:12
265,Sangar,63.9242,127.4739,17.76,95,76,5.14,RU,2022-10-15 15:58:13
266,Bosaso,11.2842,49.1816,81.84,70,0,3.8,SO,2022-10-15 15:58:13
267,Goure,13.9835,10.2704,95.34,9,5,12.55,NE,2022-10-15 15:58:14
268,Erdaojiang,41.7764,126.0319,49.12,79,14,0.36,CN,2022-10-15 15:58:14
269,Sheltozero,61.3667,35.3667,46.47,87,94,6.76,RU,2022-10-15 15:58:14
270,Kavaratti,10.5669,72.642,82.26,69,99,2.04,IN,2022-10-15 15:58:15
271,Hue,16.4667,107.6,77.11,94,75,11.5,VN,2022-10-15 15:59:16
272,Hamilton,39.1834,-84.5333,57.76,47,41,5.99,US,2022-10-15 15:59:16
273,Bartlesville,36.7473,-95.9808,66.94,52,1,5.01,US,2022-10-15 15:59:17
274,Sinnamary,5.3833,-52.95,86.63,65,16,11.43,GF,2022-10-15 15:59:17
275,Husavik,66.0449,-17.3389,38.03,98,100,27.89,IS,2022-10-15 15:59:18
276,Lipin Bor,60.2622,37.9763,44.19,86,55,8.48,RU,2022-10-15 15:59:18
277,Amga,60.8953,131.9608,23.5,98,98,1.36,RU,2022-10-15 15:59:19
278,Meulaboh,4.1363,96.1285,75.74,89,100,3.94,ID,2022-10-15 15:59:19
279,Itarema,-2.9248,-39.9167,88.63,52,7,19.39,BR,2022-10-15 15:59:20
280,Caravelas,-17.7125,-39.2481,82.22,53,81,9.15,BR,2022-10-15 15:55:25
281,Blythe,33.6103,-114.5964,77.04,47,0,10.18,US,2022-10-15 15:59:20
282,Pemangkat,1.1667,108.9667,80.28,82,96,7.18,ID,2022-10-15 15:59:21
283,Tabuk,17.4189,121.4443,72.82,96,100,5.01,PH,2022-10-15 15:59:21
284,Jiaocheng,24.6774,116.1389,73.27,51,100,3.62,CN,2022-10-15 15:59:22
285,Palm Beach,26.6503,-80.4498,84.02,72,10,9.17,US,2022-10-15 15:54:24
286,Amurzet,47.6967,131.0981,47.95,40,100,5.84,RU,2022-10-15 15:59:23
287,Polunochnoye,60.8697,60.4153,40.17,94,100,1.41,RU,2022-10-15 15:59:24
288,Lata,40.1629,-8.3327,70.07,57,94,8.5,PT,2022-10-15 15:59:24
289,Elliot Lake,46.3834,-82.6331,44.55,77,94,7.7,CA,2022-10-15 15:59:25
290,Shenjiamen,29.9576,122.298,69.57,80,99,12.21,CN,2022-10-15 15:59:25
291,Zhob,31.3411,69.4481,71.49,12,0,2.75,PK,2022-10-15 15:59:26
292,Saint Anthony,45.0205,-93.218,47.66,68,75,9.22,US,2022-10-15 15:59:26
293,Torit,4.4133,32.5678,80.44,64,93,3.06,SS,2022-10-15 15:59:26
